timestamp,zone,mae
2026-03-31 10:25:36.691349+00:00,DK_1,21.190086152835235
2026-03-31T11:09:06.564866+00:00,DK_1,21.190086152835235
2026-03-31T11:09:54.906605+00:00,DK_2,24.007848817625263
2026-03-31T11:10:35.087317+00:00,NO_1,25.390511456474403
2026-03-31T11:11:51.373418+00:00,DK_1,21.190086152835235
2026-03-31T11:12:28.943788+00:00,DK_2,24.007848817625263
2026-03-31T11:18:40.286749+00:00,DK_1,20.1968629814736
2026-03-31T11:19:52.250046+00:00,DK_2,22.1292908001107
2026-03-31T11:21:05.434798+00:00,NO_1,25.390511456474403
2026-03-31T11:22:39.316315+00:00,NO_2,15.582517421120093
2026-03-31T11:22:39.718876+00:00,NO_3,28.342017879566527
2026-03-31T11:24:22.416028+00:00,NO_4,20.69010170244572
2026-03-31T11:26:03.408142+00:00,NO_5,19.755846091388328
2026-03-31T11:27:40.415807+00:00,SE_1,24.16470191171616
2026-03-31T11:29:27.015769+00:00,SE_2,17.194803446288272
2026-03-31T11:31:13.550442+00:00,SE_3,25.46283480173433
2026-03-31T11:32:51.457195+00:00,SE_4,26.69920359828572
2026-03-31T11:34:31.149234+00:00,FI,26.840123582503693
2026-03-31T11:36:19.784126+00:00,DE_LU,13.693739309602169
2026-03-31T11:36:41.775746+00:00,NL,17.70520488218963
2026-03-31T11:38:34.154721+00:00,BE,20.290364730236085
2026-03-31T11:40:21.738736+00:00,FR,23.92209197626236
2026-03-31T11:42:10.144391+00:00,AT,21.85465765230041
2026-03-31T11:44:01.426839+00:00,PL,21.309762633535765
2026-03-31T11:45:53.250565+00:00,EE,46.71293257158963
2026-03-31T11:47:39.442777+00:00,LV,42.24261638406743
2026-03-31T11:49:23.907551+00:00,LT,36.874230674567265
